"source","target","type"
"index.js:global","index.js:addNode","calls"
"index.js:global","index.js:addEdge","calls"
"index.js:global","index.js:generateGexf","calls"
"index.js:global","index.js:generateGraphml","calls"
"index.js:global","index.js:generateDot","calls"
"index.js:global","index.js:generateMermaid","calls"
"test.js:global","test.js:test","calls"
"simple_test.js:global","simple_test.js:hello","calls"
"simple_test.js:global","simple_test.js:goodbye","calls"
"simple_test.js:global","test.js:main","calls"
"simple_test.js:global","simple_test.js:main","calls"
