"id","label","type","lines"
"index.js:addNode","addNode","function","[16-20]"
"index.js:addEdge","addEdge","function","[22-28]"
"index.js:generateGexf","generateGexf","function","[188-257]"
"index.js:generateGraphml","generateGraphml","function","[260-318]"
"index.js:generateDot","generateDot","function","[321-399]"
"index.js:generateMermaid","generateMermaid","function","[402-549]"
"test.js:test","test","function","[1-1]"
"test.js:main","main","function","[1-1]"
"simple_test.js:hello","hello","function","[2-4]"
"simple_test.js:goodbye","goodbye","function","[6-9]"
"simple_test.js:main","main","function","[11-14]"
