"id","label","type","lines"
"data.js:loadBookmarks","loadBookmarks","function","[14-31]"
"data.js:formatTableData","formatTableData","function","[37-54]"
"data.js:reloadBookmarks","reloadBookmarks","function","[56-62]"
"data.js:searchBookmarks","searchBookmarks","function","[64-84]"
"data.js:displayScrapJson","displayScrapJson","function","[86-105]"
"index.mjs:showLoadingScreen","showLoadingScreen","function","[13-85]"
"index.mjs:main","main","function","[88-156]"
"ui.js:stopCurrentAnimation","stopCurrentAnimation","function","[14-19]"
"ui.js:viewSummary","viewSummary","function","[21-65]"
"ui.js:updateSummary","updateSummary","function","[67-90]"
"ui.js:updateDisplay","updateDisplay","function","[123-139]"
"ui.js:showBookmarkInfo","showBookmarkInfo","function","[719-727]"
