"source","target","type"
"data.js:global","data.js:loadBookmarks","calls"
"index.mjs:global","index.mjs:showLoadingScreen","calls"
"index.mjs:global","data.js:loadBookmarks","calls"
"index.mjs:global","index.mjs:main","calls"
"index.mjs:global","data.js:displayScrapJson","calls"
"ui.js:global","ui.js:stopCurrentAnimation","calls"
"ui.js:global","ui.js:viewSummary","calls"
"ui.js:global","data.js:formatTableData","calls"
"ui.js:global","ui.js:updateDisplay","calls"
"ui.js:global","data.js:reloadBookmarks","calls"
"ui.js:global","ui.js:updateSummary","calls"
"ui.js:global","data.js:searchBookmarks","calls"
"ui.js:global","ui.js:showBookmarkInfo","calls"
"package.json:global","package.json:@supabase/supabase-js","requires"
"package.json:global","package.json:axios","requires"
"package.json:global","package.json:blessed","requires"
"package.json:global","package.json:blessed-contrib","requires"
"package.json:global","package.json:boxen","requires"
"package.json:global","package.json:chalk","requires"
"package.json:global","package.json:commander","requires"
"package.json:global","package.json:d3","requires"
"package.json:global","package.json:date-fns","requires"
"package.json:global","package.json:dotenv","requires"
"package.json:global","package.json:fuse.js","requires"
"package.json:global","package.json:terminal-image","requires"
